year,category,winner,entity
1927,ACTOR,False,Richard Barthelmess
1927,ACTOR,True,Emil Jannings
1927,ACTRESS,False,Louise Dresser
1927,ACTRESS,True,Janet Gaynor
1927,ACTRESS,False,Gloria Swanson
1928,ACTOR,False,George Bancroft
1928,ACTOR,True,Warner Baxter
1928,ACTOR,False,Chester Morris
1928,ACTOR,False,Paul Muni
1928,ACTOR,False,Lewis Stone
1928,ACTRESS,False,Ruth Chatterton
1928,ACTRESS,False,Betty Compson
1928,ACTRESS,False,Jeanne Eagels
1928,ACTRESS,False,Corinne Griffith
1928,ACTRESS,False,Bessie Love
1928,ACTRESS,True,Mary Pickford
1929,ACTOR,True,George Arliss
1929,ACTOR,False,George Arliss
1929,ACTOR,False,Wallace Beery
1929,ACTOR,False,Maurice Chevalier
1929,ACTOR,False,Ronald Colman
1929,ACTOR,False,Lawrence Tibbett
1929,ACTRESS,False,Nancy Carroll
1929,ACTRESS,False,Ruth Chatterton
1929,ACTRESS,False,Greta Garbo
1929,ACTRESS,True,Norma Shearer
1929,ACTRESS,False,Norma Shearer
1929,ACTRESS,False,Gloria Swanson
1930,ACTOR,True,Lionel Barrymore
1930,ACTOR,False,Jackie Cooper
1930,ACTOR,False,Richard Dix
1930,ACTOR,False,Fredric March
1930,ACTOR,False,Adolphe Menjou
1930,ACTRESS,False,Marlene Dietrich
1930,ACTRESS,True,Marie Dressler
1930,ACTRESS,False,Irene Dunne
1930,ACTRESS,False,Ann Harding
1930,ACTRESS,False,Norma Shearer
1931,ACTOR,True,Wallace Beery
1931,ACTOR,False,Alfred Lunt
1931,ACTOR,True,Fredric March
1931,ACTRESS,False,Marie Dressler
1931,ACTRESS,False,Lynn Fontanne
1931,ACTRESS,True,Helen Hayes
1932,ACTOR,False,Leslie Howard
1932,ACTOR,True,Charles Laughton
1932,ACTOR,False,Paul Muni
1932,ACTRESS,True,Katharine Hepburn
1932,ACTRESS,False,May Robson
1932,ACTRESS,False,Diana Wynyard
1934,ACTOR,True,Clark Gable
1934,ACTOR,False,Frank Morgan
1934,ACTOR,False,William Powell
1934,ACTRESS,True,Claudette Colbert
1934,ACTRESS,False,Bette Davis
1934,ACTRESS,False,Grace Moore
1934,ACTRESS,False,Norma Shearer
1935,ACTOR,False,Clark Gable
1935,ACTOR,False,Charles Laughton
1935,ACTOR,True,Victor McLaglen
1935,ACTOR,False,Paul Muni
1935,ACTOR,False,Franchot Tone
1935,ACTRESS,False,Elisabeth Bergner
1935,ACTRESS,False,Claudette Colbert
1935,ACTRESS,True,Bette Davis
1935,ACTRESS,False,Katharine Hepburn
1935,ACTRESS,False,Miriam Hopkins
1935,ACTRESS,False,Merle Oberon
1936,ACTOR,False,Gary Cooper
1936,ACTOR,False,Walter Huston
1936,ACTOR,True,Paul Muni
1936,ACTOR,False,William Powell
1936,ACTOR,False,Spencer Tracy
1936,ACTOR IN A SUPPORTING ROLE,False,Mischa Auer
1936,ACTOR IN A SUPPORTING ROLE,True,Walter Brennan
1936,ACTOR IN A SUPPORTING ROLE,False,Stuart Erwin
1936,ACTOR IN A SUPPORTING ROLE,False,Basil Rathbone
1936,ACTOR IN A SUPPORTING ROLE,False,Akim Tamiroff
1936,ACTRESS,False,Irene Dunne
1936,ACTRESS,False,Gladys George
1936,ACTRESS,False,Carole Lombard
1936,ACTRESS,True,Luise Rainer
1936,ACTRESS,False,Norma Shearer
1936,ACTRESS IN A SUPPORTING ROLE,False,Beulah Bondi
1936,ACTRESS IN A SUPPORTING ROLE,False,Alice Brady
1936,ACTRESS IN A SUPPORTING ROLE,False,Bonita Granville
1936,ACTRESS IN A SUPPORTING ROLE,False,Maria Ouspenskaya
1936,ACTRESS IN A SUPPORTING ROLE,True,Gale Sondergaard
1937,ACTOR,False,Charles Boyer
1937,ACTOR,False,Fredric March
1937,ACTOR,False,Robert Montgomery
1937,ACTOR,False,Paul Muni
1937,ACTOR,True,Spencer Tracy
1937,ACTOR IN A SUPPORTING ROLE,False,Ralph Bellamy
1937,ACTOR IN A SUPPORTING ROLE,False,Thomas Mitchell
1937,ACTOR IN A SUPPORTING ROLE,True,Joseph Schildkraut
1937,ACTOR IN A SUPPORTING ROLE,False,H. B. Warner
1937,ACTOR IN A SUPPORTING ROLE,False,Roland Young
1937,ACTRESS,False,Irene Dunne
1937,ACTRESS,False,Greta Garbo
1937,ACTRESS,False,Janet Gaynor
1937,ACTRESS,True,Luise Rainer
1937,ACTRESS,False,Barbara Stanwyck
1937,ACTRESS IN A SUPPORTING ROLE,True,Alice Brady
1937,ACTRESS IN A SUPPORTING ROLE,False,Andrea Leeds
1937,ACTRESS IN A SUPPORTING ROLE,False,Anne Shirley
1937,ACTRESS IN A SUPPORTING ROLE,False,Claire Trevor
1937,ACTRESS IN A SUPPORTING ROLE,False,Dame May Whitty
1938,ACTOR,False,Charles Boyer
1938,ACTOR,False,James Cagney
1938,ACTOR,False,Robert Donat
1938,ACTOR,False,Leslie Howard
1938,ACTOR,True,Spencer Tracy
1938,ACTOR IN A SUPPORTING ROLE,True,Walter Brennan
1938,ACTOR IN A SUPPORTING ROLE,False,John Garfield
