Title,Year,month,Rated,Runtime,Country,Director,Genre,Language,Production,Metascore,imdbRating
The Racket,1928,11,PASSED,84,USA,Lewis Milestone,Crime,English,Paramount Pictures,,6.9
The Broadway Melody,1929,6,Passed,100,USA,Harry Beaumont,Drama,English,MGM Home Entertainment,,5.7
The Hollywood Revue of 1929,1929,11,,130,USA,"Charles Reisner, Christy Cabanne",Musical,English,Metro-Goldwyn-Mayer Pictures,,7.4
All Quiet on the Western Front,1930,8,Not Rated,136,USA,Lewis Milestone,Drama,English,Universal Pictures,91.0,8.0
The Big House,1930,6,Passed,87,USA,"George W. Hill, Ward Wing",Crime,English,Warner Bros.,,7.2
The Divorcee,1930,4,Passed,84,USA,Robert Z. Leonard,Romance,English,MGM,,6.8
Cimarron,1931,2,Passed,123,USA,Wesley Ruggles,Drama,English,MGM Home Entertainment,,5.9
East Lynne,1931,3,,102,USA,Frank Lloyd,Drama,English,,,6.9
The Front Page,1931,4,TV-PG,101,USA,Lewis Milestone,Comedy,English,United Artists,,6.7
Skippy,1931,4,Approved,85,USA,Norman Taurog,Comedy,English,Paramount Pictures,,6.3
Trader Horn,1931,5,PASSED,122,USA,W.S. Van Dyke,Action,English,MGM,,6.4
Grand Hotel,1932,9,Not Rated,112,USA,Edmund Goulding,Drama,English,MGM Home Entertainment,,7.4
One Hour with You,1932,3,Passed,78,USA,"George Cukor, Ernst Lubitsch",Comedy,English,Paramount Pictures,,7.3
Shanghai Express,1932,2,Approved,82,USA,Josef von Sternberg,Adventure,English,Paramount Pictures,,7.3
Cavalcade,1933,4,Passed,112,USA,Frank Lloyd,Drama,English,20th Century Fox Film Corporation,,5.9
42nd Street,1933,3,Passed,89,USA,Lloyd Bacon,Comedy,English,MGM Home Entertainment,,7.4
Lady for a Day,1933,9,Passed,96,USA,Frank Capra,Comedy,English,Columbia Pictures,,7.4
Little Women,1933,11,Not Rated,115,USA,George Cukor,Drama,English,WARNER BROTHERS PICTURES,92.0,7.2
The Private Life of Henry VIII.,1933,9,Not Rated,97,UK,Alexander Korda,Biography,English,Criterion Collection,,7.1
