Country,Director,Genre,Language,Metascore,Production,Rated,Runtime,Title,Year,imdbRating,month
USA,Frank Borzage,Drama,English,,Fox,Not Rated,110,7th Heaven,1927,7.8,10
USA,"William A. Wellman, Harry d'Abbadie d'Arrast",Drama,English,,Unknown,PG-13,144,Wings,1927,7.5,1
USA,Irving Cummings,Romance,English,,20th Century Fox Film Corporation,PASSED,95,In Old Arizona,1928,5.7,1
USA,Alfred E. Green,Biography,English,,A & E,PASSED,90,Disraeli,1929,6.4,11
USA,Ernst Lubitsch,Comedy,English,,Paramount Pictures,APPROVED,107,The Love Parade,1929,7.2,1
USA,John Ford,Drama,English,,United Artists,PASSED,108,Arrowsmith,1931,6.2,12
USA,Frank Borzage,Drama,English,,,Passed,90,Bad Girl,1931,6.6,9
USA,King Vidor,Drama,English,,MGM,Passed,86,The Champ,1931,7.3,11
USA,Mervyn LeRoy,Crime,English,,Vitaphone Corporation,NOT RATED,89,Five Star Final,1931,7.3,9
USA,Ernst Lubitsch,Comedy,English,,Paramount Pictures,Passed,93,The Smiling Lieutenant,1931,7.7,8
USA,Frank Borzage,Drama,English,,Gravitas,Unrated,80,A Farewell to Arms,1932,6.5,12
USA,Mervyn LeRoy,Crime,English,,Vitaphone Corporation,Passed,92,I Am a Fugitive from a Chain Gang,1932,8.2,11
USA,Sidney Franklin,Drama,English,,MGM,Approved,98,Smilin' Through,1932,6.9,9
USA,Sidney Franklin,Biography,English,,MGM,PASSED,109,The Barretts of Wimpole Street,1934,7,9
USA,Cecil B. DeMille,Biography,English,,Paramount Pictures,Passed,100,Cleopatra,1934,6.8,10
USA,Frank Borzage,Musical,English,,Warner Brothers,NOT RATED,97,Flirtation Walk,1934,5.8,12
USA,Mark Sandrich,Comedy,English,,RKO Radio Pictures,Approved,107,The Gay Divorcee,1934,7.5,10
USA,Lloyd Bacon,Comedy,English,,Warner Bros.,APPROVED,87,Here Comes the Navy,1934,6.4,7
USA,"Alfred L. Werker, Sidney Lanfield",Biography,English,,20th Century Fox Film Corporation,PASSED,88,The House of Rothschild,1934,6.8,4
USA,John M. Stahl,Drama,English,,Universal Studios,Approved,111,Imitation of Life,1934,7.5,11
USA,Frank Capra,Comedy,English,87,Sony Pictures Home Entertainment,Not Rated,105,It Happened One Night,1934,8.1,2
USA,Victor Schertzinger,Music,English,,Sony Pictures Home Entertainment,PASSED,84,One Night of Love,1934,5.9,9
USA,W.S. Van Dyke,Comedy,English,,MGM,Not Rated,91,The Thin Man,1934,8,5
USA,"Jack Conway, Howard Hawks, William A. Wellman",Biography,English,,MGM,,115,Viva Villa!,1934,6.5,4
USA,Irving Cummings,Drama,English,,,APPROVED,80,The White Parade,1934,7,11
USA,George Stevens,Comedy,English,,Turner Home Entertainment,Passed,99,Alice Adams,1935,7,11
USA,"Roy Del Ruth, W.S. Van Dyke",Musical,English,,MGM,Passed,101,Broadway Melody of 1936,1935,6.8,9
USA,Michael Curtiz,Action,English,,Twentieth Century Fox Home Entertainment,Passed,119,Captain Blood,1935,7.7,12
USA,George Cukor,Adventure,English,,WARNER BROTHERS PICTURES,Passed,130,David Copperfield,1935,7.5,6
USA,John Ford,Crime,English,,Media Home Entertainment,Approved,91,The Informer,1935,7.5,5
USA,Richard Boleslawski,Drama,English,,20th Century Fox Film Corporation,Approved,108,Les Misérables,1935,7.6,4
USA,Henry Hathaway,Adventure,English,,Paramount Pictures,Passed,109,The Lives of a Bengal Lancer,1935,7.2,2
USA,"William Dieterle, Max Reinhardt",Comedy,English,,Warner Bros.,Approved,133,A Midsummer Night's Dream,1935,6.9,10
USA,Frank Lloyd,Adventure,English,87,MGM,Not Rated,132,Mutiny on the Bounty,1935,7.7,11
USA,"Robert Z. Leonard, W.S. Van Dyke",Drama,English,,MGM Home Entertainment,G,105,Naughty Marietta,1935,6.7,3
USA,Leo McCarey,Comedy,English,,MCA Universal Home Video,NOT RATED,90,Ruggles of Red Gap,1935,7.7,3
USA,Mark Sandrich,Comedy,English,,Turner Home Entertainment,Not Rated,101,Top Hat,1935,7.8,9
USA,"Mervyn LeRoy, Michael Curtiz",Adventure,English,,Warner Bros.,NOT RATED,141,Anthony Adverse,1936,6.5,8
USA,William Wyler,Drama,English,,Samuel Goldwyn Films,Passed,101,Dodsworth,1936,7.8,9
USA,Robert Z. Leonard,Biography,English,,MGM Home Entertainment,Not Rated,176,The Great Ziegfeld,1936,6.8,4
USA,Jack Conway,Comedy,English,,Warner Home Video,Not Rated,98,Libeled Lady,1936,7.8,10
USA,Frank Capra,Comedy,English,,Columbia Pictures,Not Rated,115,Mr. Deeds Goes to Town,1936,8,4
USA,George Cukor,Drama,English,,MGM,Passed,125,Romeo and Juliet,1936,6.7,9
USA,W.S. Van Dyke,Drama,English,,MGM,Unrated,115,San Francisco,1936,7.2,6
USA,William Dieterle,Biography,English,,MGM Home Entertainment,UNRATED,86,The Story of Louis Pasteur,1936,7.4,2
USA,Henry Koster,Comedy,English,,Universal Pictures,APPROVED,84,Three Smart Girls,1936,6.8,12
USA,Leo McCarey,Comedy,English,,Columbia,Not Rated,90,The Awful Truth,1937,7.7,10
USA,Victor Fleming,Adventure,English,,MGM Home Entertainment,Passed,117,Captains Courageous,1937,8,6
USA,William Wyler,Crime,English,,MGM,Approved,93,Dead End,1937,7.4,8
USA,"Sidney Franklin, Victor Fleming, Gustav Machatý, Sam Wood",Drama,English,,WARNER BROTHERS PICTURES,PASSED,138,The Good Earth,1937,7.7,8
USA,William Dieterle,Biography,English,,MGM Home Entertainment,Not Rated,116,The Life of Emile Zola,1937,7.2,10
USA,Frank Capra,Adventure,English,,Sony Pictures Home Entertainment,Approved,132,Lost Horizon,1937,7.7,9
USA,Henry Koster,Comedy,English,,Universal,APPROVED,84,One Hundred Men and a Girl,1937,6.9,9
USA,Gregory La Cava,Comedy,English,,Warner Home Video,Approved,92,Stage Door,1937,7.7,10
USA,"William A. Wellman, Jack Conway",Drama,English,77,Image Entertainment Inc.,Passed,111,A Star Is Born,1937,7.6,4
USA,"Michael Curtiz, William Keighley",Action,English,97,Warner Bros.,PG,102,The Adventures of Robin Hood,1938,7.9,5
USA,Henry King,Drama,English,,20th Century Fox Film Corporation,APPROVED,106,Alexander's Ragtime Band,1938,7,8
USA,Norman Taurog,Biography,English,,MGM Home Entertainment,Passed,96,Boys Town,1938,7.3,9
UK,King Vidor,Drama,English,,MGM Home Entertainment,PASSED,110,The Citadel,1938,7.2,10
USA,Michael Curtiz,Drama,English,,Warner Brothers,Approved,90,Four Daughters,1938,7,8
USA,William Wyler,Drama,English,,MGM Home Entertainment,Approved,104,Jezebel,1938,7.5,3
UK,"Anthony Asquith, Leslie Howard",Comedy,English,,Criterion Collection,Not Rated,89,Pygmalion,1938,7.8,3
USA,Victor Fleming,Drama,English,,MGM,Passed,119,Test Pilot,1938,6.9,4
USA,Frank Capra,Comedy,English,,Columbia Pictures,Passed,126,You Can't Take It with You,1938,7.9,9
USA,Edmund Goulding,Drama,English,,Twentieth Century Fox Home Entertainment,Approved,104,Dark Victory,1939,7.6,4
USA,"Victor Fleming, George Cukor, Sam Wood",Drama,English,97,Loew&#39;s Inc.,Passed,238,Gone with the Wind,1939,8.1,1
UK,"Sam Wood, Sidney Franklin",Drama,English,,MGM Home Entertainment,Unrated,114,"Goodbye, Mr. Chips",1939,7.9,7
USA,Leo McCarey,Comedy,English,,Madacy Entertainment,Approved,88,Love Affair,1939,7.3,4
USA,Frank Capra,Comedy,English,73,ITVS,Not Rated,129,Mr. Smith Goes to Washington,1939,8.1,10
USA,Ernst Lubitsch,Comedy,English,,Warner Bros. Pictures,Not Rated,110,Ninotchka,1939,7.9,11
USA,Lewis Milestone,Drama,English,,United Artists,Approved,106,Of Mice and Men,1939,7.9,1
USA,John Ford,Adventure,English,93,Warner Home Video,Passed,96,Stagecoach,1939,7.9,3
USA,"Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, Richard Thorpe, King Vidor",Adventure,English,100,Warner Bros. Pictures,PG,102,The Wizard of Oz,1939,8,8
USA,William Wyler,Drama,English,,United Artists,Not Rated,104,Wuthering Heights,1939,7.6,4
USA,Anatole Litvak,Drama,English,,Warner Bros. Pictures,Approved,141,"All This, and Heaven Too",1940,7.6,7
USA,Alfred Hitchcock,Action,English,,Warner Home Video,Passed,120,Foreign Correspondent,1940,7.5,8
USA,John Ford,Drama,English,96,20th Century Fox Film Corporation,Passed,129,The Grapes of Wrath,1940,8,3
