Year,Category,Winner,Title,month,Rated,Runtime,Country,Director,Genre,Language,Production,Metascore,imdbRating
1927,OUTSTANDING PICTURE,False,The Racket,11,PASSED,84,USA,Lewis Milestone,Crime,English,Paramount Pictures,,6.9
1927,OUTSTANDING PICTURE,False,7th Heaven,10,Not Rated,110,USA,Frank Borzage,Drama,English,Fox,,7.8
1927,OUTSTANDING PICTURE,True,Wings,1,PG-13,144,USA,"William A. Wellman, Harry d'Abbadie d'Arrast",Drama,English,Unknown,,7.5
1928,OUTSTANDING PICTURE,False,In Old Arizona,1,PASSED,95,USA,Irving Cummings,Romance,English,20th Century Fox Film Corporation,,5.7
1928,OUTSTANDING PICTURE,True,The Broadway Melody,6,Passed,100,USA,Harry Beaumont,Drama,English,MGM Home Entertainment,,5.7
1929,OUTSTANDING PRODUCTION,True,All Quiet on the Western Front,8,Not Rated,136,USA,Lewis Milestone,Drama,English,Universal Pictures,91.0,8.0
1929,OUTSTANDING PRODUCTION,False,The Big House,6,Passed,87,USA,"George W. Hill, Ward Wing",Crime,English,Warner Bros.,,7.2
1929,OUTSTANDING PRODUCTION,False,Disraeli,11,PASSED,90,USA,Alfred E. Green,Biography,English,A & E,,6.4
1929,OUTSTANDING PRODUCTION,False,The Divorcee,4,Passed,84,USA,Robert Z. Leonard,Romance,English,MGM,,6.8
1929,OUTSTANDING PRODUCTION,False,The Love Parade,1,APPROVED,107,USA,Ernst Lubitsch,Comedy,English,Paramount Pictures,,7.2
1930,OUTSTANDING PRODUCTION,True,Cimarron,2,Passed,123,USA,Wesley Ruggles,Drama,English,MGM Home Entertainment,,5.9
1930,OUTSTANDING PRODUCTION,False,East Lynne,3,,102,USA,Frank Lloyd,Drama,English,,,6.9
1930,OUTSTANDING PRODUCTION,False,The Front Page,4,TV-PG,101,USA,Lewis Milestone,Comedy,English,United Artists,,6.7
1930,OUTSTANDING PRODUCTION,False,Skippy,4,Approved,85,USA,Norman Taurog,Comedy,English,Paramount Pictures,,6.3
1930,OUTSTANDING PRODUCTION,False,Trader Horn,5,PASSED,122,USA,W.S. Van Dyke,Action,English,MGM,,6.4
1931,OUTSTANDING PRODUCTION,False,Arrowsmith,12,PASSED,108,USA,John Ford,Drama,English,United Artists,,6.2
1931,OUTSTANDING PRODUCTION,False,Bad Girl,9,Passed,90,USA,Frank Borzage,Drama,English,,,6.6
1931,OUTSTANDING PRODUCTION,False,The Champ,11,Passed,86,USA,King Vidor,Drama,English,MGM,,7.3
1931,OUTSTANDING PRODUCTION,False,Five Star Final,9,NOT RATED,89,USA,Mervyn LeRoy,Crime,English,Vitaphone Corporation,,7.3
1931,OUTSTANDING PRODUCTION,True,Grand Hotel,9,Not Rated,112,USA,Edmund Goulding,Drama,English,MGM Home Entertainment,,7.4
1931,OUTSTANDING PRODUCTION,False,One Hour with You,3,Passed,78,USA,"George Cukor, Ernst Lubitsch",Comedy,English,Paramount Pictures,,7.3
1931,OUTSTANDING PRODUCTION,False,Shanghai Express,2,Approved,82,USA,Josef von Sternberg,Adventure,English,Paramount Pictures,,7.3
