year,category,winner,entity
1927,OUTSTANDING PICTURE,False,The Racket
1927,OUTSTANDING PICTURE,False,7th Heaven
1927,OUTSTANDING PICTURE,True,Wings
1928,OUTSTANDING PICTURE,False,Alibi
1928,OUTSTANDING PICTURE,False,In Old Arizona
1928,OUTSTANDING PICTURE,True,The Broadway Melody
1928,OUTSTANDING PICTURE,False,Hollywood Revue
1928,OUTSTANDING PICTURE,False,The Patriot
1929,OUTSTANDING PRODUCTION,True,All Quiet on the Western Front
1929,OUTSTANDING PRODUCTION,False,The Big House
1929,OUTSTANDING PRODUCTION,False,Disraeli
1929,OUTSTANDING PRODUCTION,False,The Divorcee
1929,OUTSTANDING PRODUCTION,False,The Love Parade
1930,OUTSTANDING PRODUCTION,True,Cimarron
1930,OUTSTANDING PRODUCTION,False,East Lynne
1930,OUTSTANDING PRODUCTION,False,The Front Page
1930,OUTSTANDING PRODUCTION,False,Skippy
1930,OUTSTANDING PRODUCTION,False,Trader Horn
1931,OUTSTANDING PRODUCTION,False,Arrowsmith
1931,OUTSTANDING PRODUCTION,False,Bad Girl
1931,OUTSTANDING PRODUCTION,False,The Champ
1931,OUTSTANDING PRODUCTION,False,Five Star Final
1931,OUTSTANDING PRODUCTION,True,Grand Hotel
1931,OUTSTANDING PRODUCTION,False,One Hour with You
1931,OUTSTANDING PRODUCTION,False,Shanghai Express
1931,OUTSTANDING PRODUCTION,False,The Smiling Lieutenant
1932,OUTSTANDING PRODUCTION,True,Cavalcade
1932,OUTSTANDING PRODUCTION,False,A Farewell to Arms
1932,OUTSTANDING PRODUCTION,False,42nd Street
1932,OUTSTANDING PRODUCTION,False,I Am a Fugitive from a Chain Gang
1932,OUTSTANDING PRODUCTION,False,Lady for a Day
1932,OUTSTANDING PRODUCTION,False,Little Women
1932,OUTSTANDING PRODUCTION,False,The Private Life of Henry VIII
1932,OUTSTANDING PRODUCTION,False,She Done Him Wrong
1932,OUTSTANDING PRODUCTION,False,Smilin' Through
1932,OUTSTANDING PRODUCTION,False,State Fair
1934,OUTSTANDING PRODUCTION,False,The Barretts of Wimpole Street
1934,OUTSTANDING PRODUCTION,False,Cleopatra
1934,OUTSTANDING PRODUCTION,False,Flirtation Walk
1934,OUTSTANDING PRODUCTION,False,The Gay Divorcee
1934,OUTSTANDING PRODUCTION,False,Here Comes the Navy
