year,category,winner,entity
1962,BEST PICTURE,TRUE,Lawrence+of+Arabia
1962,BEST PICTURE,FALSE,The+Longest+Day
1962,BEST PICTURE,FALSE,Meredith+Willson's+The+Music+Man
1962,BEST PICTURE,FALSE,Mutiny+on+the+Bounty
1962,BEST PICTURE,FALSE,To+Kill+a+Mockingbird
1963,BEST PICTURE,FALSE,America+America
1963,BEST PICTURE,FALSE,Cleopatra
1963,BEST PICTURE,FALSE,How+the+West+Was+Won
1963,BEST PICTURE,FALSE,Lilies+of+the+Field
1963,BEST PICTURE,TRUE,Tom+Jones
1964,BEST PICTURE,FALSE,Becket
1964,BEST PICTURE,FALSE,Dr.+Strangelove+or:+How+I+Learned+to+Stop+Worrying+and+Love+the+Bomb
1964,BEST PICTURE,FALSE,Mary+Poppins
1964,BEST PICTURE,TRUE,My+Fair+Lady
1964,BEST PICTURE,FALSE,Zorba+the+Greek
1965,BEST PICTURE,FALSE,Darling
1965,BEST PICTURE,FALSE,Doctor+Zhivago
1965,BEST PICTURE,FALSE,Ship+of+Fools
1965,BEST PICTURE,TRUE,The+Sound+of+Music
1965,BEST PICTURE,FALSE,A+Thousand+Clowns
1966,BEST PICTURE,FALSE,Alfie
1966,BEST PICTURE,TRUE,A+Man+for+All+Seasons
1966,BEST PICTURE,FALSE,The+Russians+Are+Coming+The+Russians+Are+Coming
1966,BEST PICTURE,FALSE,The+Sand+Pebbles
1966,BEST PICTURE,FALSE,Who's+Afraid+of+Virginia+Woolf?
1967,BEST PICTURE,FALSE,Bonnie+and+Clyde
1967,BEST PICTURE,FALSE,Doctor+Dolittle
1967,BEST PICTURE,FALSE,The+Graduate
1967,BEST PICTURE,FALSE,Guess+Who's+Coming+to+Dinner
1967,BEST PICTURE,TRUE,In+the+Heat+of+the+Night
1968,BEST PICTURE,FALSE,Funny+Girl
1968,BEST PICTURE,FALSE,The+Lion+in+Winter
1968,BEST PICTURE,TRUE,Oliver!
1968,BEST PICTURE,FALSE,"Rachel,+Rachel"
1968,BEST PICTURE,FALSE,Romeo+and+Juliet
1969,BEST PICTURE,FALSE,Anne+of+the+Thousand+Days
1969,BEST PICTURE,FALSE,Butch+Cassidy+and+the+Sundance+Kid
1969,BEST PICTURE,FALSE,"Hello,+Dolly!"
1969,BEST PICTURE,TRUE,Midnight+Cowboy
1969,BEST PICTURE,FALSE,Z
1970,BEST PICTURE,FALSE,Airport
1970,BEST PICTURE,FALSE,Five+Easy+Pieces
1970,BEST PICTURE,FALSE,Love+Story
1970,BEST PICTURE,FALSE,M*A*S*H
1970,BEST PICTURE,TRUE,Patton
1971,BEST PICTURE,FALSE,A+Clockwork+Orange
1971,BEST PICTURE,FALSE,Fiddler+on+the+Roof
1971,BEST PICTURE,TRUE,The+French+Connection
1971,BEST PICTURE,FALSE,The+Last+Picture+Show
1971,BEST PICTURE,FALSE,Nicholas+and+Alexandra
1972,BEST PICTURE,FALSE,Cabaret
1972,BEST PICTURE,FALSE,Deliverance
1972,BEST PICTURE,FALSE,The+Emigrants
1972,BEST PICTURE,TRUE,The+Godfather
1972,BEST PICTURE,FALSE,Sounder
1973,BEST PICTURE,FALSE,American+Graffiti
1973,BEST PICTURE,FALSE,Cries+and+Whispers
1973,BEST PICTURE,FALSE,The+Exorcist
1973,BEST PICTURE,TRUE,The+Sting
1973,BEST PICTURE,FALSE,A+Touch+of+Class
1974,BEST PICTURE,FALSE,Chinatown
1974,BEST PICTURE,FALSE,The+Conversation
1974,BEST PICTURE,TRUE,The+Godfather+Part+II
1974,BEST PICTURE,FALSE,Lenny
1974,BEST PICTURE,FALSE,The+Towering+Inferno
1975,BEST PICTURE,FALSE,Barry+Lyndon
1975,BEST PICTURE,FALSE,Dog+Day+Afternoon
1975,BEST PICTURE,FALSE,Jaws
1975,BEST PICTURE,FALSE,Nashville
1975,BEST PICTURE,TRUE,One+Flew+over+the+Cuckoo's+Nest
1976,BEST PICTURE,FALSE,All+the+President's+Men
1976,BEST PICTURE,FALSE,Bound+for+Glory
1976,BEST PICTURE,FALSE,Network
1976,BEST PICTURE,TRUE,Rocky
1976,BEST PICTURE,FALSE,Taxi+Driver
1977,BEST PICTURE,TRUE,Annie+Hall
1977,BEST PICTURE,FALSE,The+Goodbye+Girl
1977,BEST PICTURE,FALSE,Julia
1977,BEST PICTURE,FALSE,Star+Wars
1977,BEST PICTURE,FALSE,The+Turning+Point
1978,BEST PICTURE,FALSE,Coming+Home
1978,BEST PICTURE,TRUE,The+Deer+Hunter
1978,BEST PICTURE,FALSE,Heaven+Can+Wait
1978,BEST PICTURE,FALSE,Midnight+Express
1978,BEST PICTURE,FALSE,An+Unmarried+Woman
1979,BEST PICTURE,FALSE,All+That+Jazz
1979,BEST PICTURE,FALSE,Apocalypse+Now
1979,BEST PICTURE,FALSE,Breaking+Away
1979,BEST PICTURE,TRUE,Kramer+vs.+Kramer
1979,BEST PICTURE,FALSE,Norma+Rae
1980,BEST PICTURE,FALSE,Coal+Miner's+Daughter
1980,BEST PICTURE,FALSE,The+Elephant+Man
1980,BEST PICTURE,TRUE,Ordinary+People
1980,BEST PICTURE,FALSE,Raging+Bull
1980,BEST PICTURE,FALSE,Tess
1981,BEST PICTURE,FALSE,Atlantic+City
1981,BEST PICTURE,TRUE,Chariots+of+Fire
1981,BEST PICTURE,FALSE,On+Golden+Pond
1981,BEST PICTURE,FALSE,Raiders+of+the+Lost+Ark
1981,BEST PICTURE,FALSE,Reds
1982,BEST PICTURE,FALSE,E.T.+The+Extra-Terrestrial
1982,BEST PICTURE,TRUE,Gandhi
1982,BEST PICTURE,FALSE,Missing
1982,BEST PICTURE,FALSE,Tootsie
1982,BEST PICTURE,FALSE,The+Verdict
1983,BEST PICTURE,FALSE,The+Big+Chill
1983,BEST PICTURE,FALSE,The+Dresser
1983,BEST PICTURE,FALSE,The+Right+Stuff
1983,BEST PICTURE,FALSE,Tender+Mercies
1983,BEST PICTURE,TRUE,Terms+of+Endearment
1984,BEST PICTURE,TRUE,Amadeus
1984,BEST PICTURE,FALSE,The+Killing+Fields
1984,BEST PICTURE,FALSE,A+Passage+to+India
1984,BEST PICTURE,FALSE,Places+in+the+Heart
1984,BEST PICTURE,FALSE,A+Soldier's+Story
1985,BEST PICTURE,FALSE,The+Color+Purple
1985,BEST PICTURE,FALSE,Kiss+of+the+Spider+Woman
1985,BEST PICTURE,TRUE,Out+of+Africa
1985,BEST PICTURE,FALSE,Prizzi's+Honor
1985,BEST PICTURE,FALSE,Witness
1986,BEST PICTURE,FALSE,Children+of+a+Lesser+God
1986,BEST PICTURE,FALSE,Hannah+and+Her+Sisters
1986,BEST PICTURE,FALSE,The+Mission
1986,BEST PICTURE,TRUE,Platoon
1986,BEST PICTURE,FALSE,A+Room+with+a+View
1987,BEST PICTURE,FALSE,Broadcast+News
1987,BEST PICTURE,FALSE,Fatal+Attraction
1987,BEST PICTURE,FALSE,Hope+and+Glory
1987,BEST PICTURE,TRUE,The+Last+Emperor
1987,BEST PICTURE,FALSE,Moonstruck
1988,BEST PICTURE,FALSE,The+Accidental+Tourist
1988,BEST PICTURE,FALSE,Dangerous+Liaisons
1988,BEST PICTURE,FALSE,Mississippi+Burning
1988,BEST PICTURE,TRUE,Rain+Man
1988,BEST PICTURE,FALSE,Working+Girl
1989,BEST PICTURE,FALSE,Born+on+the+Fourth+of+July
1989,BEST PICTURE,FALSE,Dead+Poets+Society
1989,BEST PICTURE,TRUE,Driving+Miss+Daisy
1989,BEST PICTURE,FALSE,Field+of+Dreams
1989,BEST PICTURE,FALSE,My+Left+Foot
1990,BEST PICTURE,FALSE,Awakenings
1990,BEST PICTURE,TRUE,Dances+With+Wolves
1990,BEST PICTURE,FALSE,Ghost
1990,BEST PICTURE,FALSE,"The+Godfather,+Part+III"
1990,BEST PICTURE,FALSE,Good+Fellas
1991,BEST PICTURE,FALSE,Beauty+and+the+Beast
1991,BEST PICTURE,FALSE,Bugsy
1991,BEST PICTURE,FALSE,JFK
1991,BEST PICTURE,FALSE,The+Prince+of+Tides
1991,BEST PICTURE,TRUE,The+Silence+of+the+Lambs
1992,BEST PICTURE,FALSE,The+Crying+Game
1992,BEST PICTURE,FALSE,A+Few+Good+Men
1992,BEST PICTURE,FALSE,Howards+End
1992,BEST PICTURE,FALSE,Scent+of+a+Woman
1992,BEST PICTURE,TRUE,Unforgiven
1993,BEST PICTURE,FALSE,The+Fugitive
1993,BEST PICTURE,FALSE,In+the+Name+of+the+Father
1993,BEST PICTURE,FALSE,The+Piano
1993,BEST PICTURE,FALSE,The+Remains+of+the+Day
1993,BEST PICTURE,TRUE,Schindler's+List
1994,BEST PICTURE,TRUE,Forrest+Gump
1994,BEST PICTURE,FALSE,Four+Weddings+and+a+Funeral
1994,BEST PICTURE,FALSE,Pulp+Fiction
1994,BEST PICTURE,FALSE,Quiz+Show
1994,BEST PICTURE,FALSE,The+Shawshank+Redemption
1995,BEST PICTURE,FALSE,Apollo+13
1995,BEST PICTURE,FALSE,Babe
1995,BEST PICTURE,TRUE,Braveheart
1995,BEST PICTURE,FALSE,The+Postman+(Il+Postino)
1995,BEST PICTURE,FALSE,Sense+and+Sensibility
1996,BEST PICTURE,TRUE,The+English+Patient
1996,BEST PICTURE,FALSE,Fargo
1996,BEST PICTURE,FALSE,Jerry+Maguire
1996,BEST PICTURE,FALSE,Secrets+&+Lies
1996,BEST PICTURE,FALSE,Shine
1997,BEST PICTURE,FALSE,As+Good+as+It+Gets
1997,BEST PICTURE,FALSE,The+Full+Monty
1997,BEST PICTURE,FALSE,Good+Will+Hunting
1997,BEST PICTURE,FALSE,L.A.+Confidential
1997,BEST PICTURE,TRUE,Titanic
1998,BEST PICTURE,FALSE,Elizabeth
1998,BEST PICTURE,FALSE,Life+Is+Beautiful
1998,BEST PICTURE,FALSE,Saving+Private+Ryan
1998,BEST PICTURE,TRUE,Shakespeare+in+Love
1998,BEST PICTURE,FALSE,The+Thin+Red+Line
1999,BEST PICTURE,TRUE,American+Beauty
1999,BEST PICTURE,FALSE,The+Cider+House+Rules
1999,BEST PICTURE,FALSE,The+Green+Mile
1999,BEST PICTURE,FALSE,The+Insider
1999,BEST PICTURE,FALSE,The+Sixth+Sense
2000,BEST PICTURE,FALSE,Chocolat
2000,BEST PICTURE,FALSE,"Crouching+Tiger,+Hidden+Dragon"
2000,BEST PICTURE,FALSE,Erin+Brockovich
2000,BEST PICTURE,TRUE,Gladiator
2000,BEST PICTURE,FALSE,Traffic
2001,BEST PICTURE,TRUE,A+Beautiful+Mind
2001,BEST PICTURE,FALSE,Gosford+Park
